Date : 2025-05-06 22:56:26
Directory : f:\class_code\embedded_system\keil\experient4
Total : 334 files,  147747 codes, 68603 comments, 23366 blanks, all 239716 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
+---------------+------------+------------+------------+------------+------------+
| C             |        127 |     90,452 |     38,925 |      9,551 |    138,928 |
| CUDA C++      |        193 |     37,328 |     28,826 |     11,837 |     77,991 |
| HTML          |          2 |     18,190 |          0 |      1,581 |     19,771 |
| Assembly      |          4 |      1,095 |         49 |        157 |      1,301 |
| assembly(DOS) |          6 |        623 |        802 |        237 |      1,662 |
| Ini           |          1 |         34 |          0 |          1 |         35 |
| Batch         |          1 |         25 |          1 |          2 |         28 |
+---------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |        334 |    147,747 |     68,603 |     23,366 |    239,716 |
| . (Files)                                                                                                        |          1 |         25 |          1 |          2 |         28 |
| CORE                                                                                                             |          3 |      1,785 |        520 |        577 |      2,882 |
| EMWIN                                                                                                            |        137 |     70,806 |     14,967 |      4,405 |     90,178 |
| EMWIN\Demo                                                                                                       |         28 |     59,534 |      4,497 |      1,920 |     65,951 |
| EMWIN\STemWin                                                                                                    |        109 |     11,272 |     10,470 |      2,485 |     24,227 |
| EMWIN\STemWin\Config                                                                                             |         10 |        781 |        746 |        117 |      1,644 |
| EMWIN\STemWin\OS                                                                                                 |          2 |        116 |        161 |         41 |        318 |
| EMWIN\STemWin\inc                                                                                                |         97 |     10,375 |      9,563 |      2,327 |     22,265 |
| FWLIB                                                                                                            |         79 |     25,701 |     31,277 |      8,866 |     65,844 |
| FWLIB\CMSIS                                                                                                      |         12 |      7,578 |      6,044 |      3,156 |     16,778 |
| FWLIB\CMSIS\Include                                                                                              |         12 |      7,578 |      6,044 |      3,156 |     16,778 |
| FWLIB\STM32F4xx_StdPeriph_Driver                                                                                 |         67 |     18,123 |     25,233 |      5,710 |     49,066 |
| FWLIB\STM32F4xx_StdPeriph_Driver\inc                                                                             |         31 |      5,843 |      5,815 |      2,292 |     13,950 |
| FWLIB\STM32F4xx_StdPeriph_Driver\src                                                                             |         36 |     12,280 |     19,418 |      3,418 |     35,116 |
| HARDWARE                                                                                                         |         29 |      4,660 |        944 |        558 |      6,162 |
| HARDWARE\24CXX                                                                                                   |          2 |        115 |         55 |         15 |        185 |
| HARDWARE\ADC                                                                                                     |          2 |         56 |         35 |         43 |        134 |
| HARDWARE\BEEP                                                                                                    |          2 |         19 |         28 |         31 |         78 |
| HARDWARE\IIC                                                                                                     |          2 |        125 |         39 |         17 |        181 |
| HARDWARE\KEY                                                                                                     |          2 |         45 |         34 |         11 |         90 |
| HARDWARE\LCD                                                                                                     |          3 |      2,980 |        352 |        201 |      3,533 |
| HARDWARE\LED                                                                                                     |          2 |         20 |         27 |          8 |         55 |
| HARDWARE\SRAM                                                                                                    |          2 |        125 |         48 |         25 |        198 |
| HARDWARE\TIMER                                                                                                   |          2 |         60 |         42 |         21 |        123 |
| HARDWARE\TOUCH                                                                                                   |         10 |      1,115 |        284 |        186 |      1,585 |
| MALLOC                                                                                                           |          2 |        153 |         68 |         25 |        246 |
| OBJ                                                                                                              |          2 |     18,190 |          0 |      1,581 |     19,771 |
| SYSTEM                                                                                                           |          6 |        323 |        209 |        155 |        687 |
| SYSTEM\delay                                                                                                     |          2 |        153 |         94 |         80 |        327 |
| SYSTEM\sys                                                                                                       |          2 |         68 |         46 |         46 |        160 |
| SYSTEM\usart                                                                                                     |          2 |        102 |         69 |         29 |        200 |
| UCOSIII                                                                                                          |         63 |     18,164 |     18,540 |      5,782 |     42,486 |
| UCOSIII\UCOS_BSP                                                                                                 |          2 |         68 |        159 |         43 |        270 |
